CIA	ORG	taking	381
Catholic	NORP	mccabe13	282
Catholic	NORP	mccabe12	257
Rockefeller	PERSON	rockfell	224
Inslaw	ORG	inslaw2	206
Jews	NORP	nazidocs	206
Catholic	NORP	mccabe17	194
Catholic	NORP	mccabe16	173
Catholic	NORP	mccabe18	173
Catholic	NORP	mccabe03	170
LaRouche	PERSON	right-lf	161
Catholic	NORP	mccabe15	151
Catholic	NORP	mccabe14	149
Catholic	NORP	mccabe04	145
Catholic	NORP	mccabe07	140
Catholic	NORP	mccabe19	140
CIA	ORG	jfkmessages	139
Catholic	NORP	mccabe09	134
Jew	NORP	nazidocs	133
Catholic	NORP	mccabe10	124
FBI	ORG	taking	120
Jews	NORP	shoah001	117
LaRouche	PERSON	larouche	112
Jewish	NORP	nazidocs	111
Catholic	NORP	mccabe01	108
Catholic	NORP	mccabe02	105
FBI	ORG	jfkmessages	103
Pagan	NORP	forg7	102
Catholic	NORP	mccabe05	101
CHRISTIANITY	NORP	forg7	97
CIA	ORG	secret	97
CIA	ORG	secretw	97
Catholic	NORP	mccabe06	96
Catholic	NORP	mccabe11	96
Freemason	NORP	if_entap	94
Jewish	NORP	right-lf	89
Wackenhut	ORG	shadwcia	87
Tesla	PERSON	tesla1	86
Masonic	NORP	if_entap	83
Jew	NORP	issue-25	82
CIA	ORG	jfk-echo	81
Constantine	PERSON	forg6	77
Vatican	GPE	mccabe10	77
Jewish	NORP	shoah001	77
Pagan	NORP	forg1	76
Tesla	PERSON	teslaved	76
Sun	LOC	gravac	73
CIA	ORG	illumhis	73
Pagan	NORP	forg4	71
Jew	NORP	issue-20	70
Catholic	NORP	mccabe08	68
CIA	ORG	marcheti	67
Vatican	GPE	mccabe09	67
CBS	ORG	taking	66
Vatican	GPE	mccabe08	64
Tesla	PERSON	tesla2	64
Vatican	GPE	mccabe02	61
Vatican	GPE	mccabe05	61
Jewish	NORP	forg2	59
Jew	NORP	forg3	58
Vatican	GPE	mccabe11	58
Tesla	PERSON	theory1	55
Freemasonry	NORP	if_felcr	54
